hz,magnitude
17340,2.03013
17360,1.0269
17380,17.7783
17400,1.06145
17420,1.70297
17440,1.63623
17460,1.07336
17480,11.6156
17500,1.02023
17520,2.14443
17540,1.39401
17560,1.14861
17580,4.41139
17600,1.00163
17620,2.97629
17640,1.23607
17660,1.26272
17680,2.7572
17700,1.00367
17720,5.02906
17740,1.13086
17760,1.43428
17780,2.03526
17800,1.02656
17820,17.3398
17840,1.06199
17860,1.69964
17880,1.63926
17900,1.07277
17920,11.8103
17940,1.02052
17960,2.13866
17980,1.39594
18000,1.14769
18020,4.43856
18040,1.00171
18060,2.96446
18080,1.23735
18100,1.26133
18120,2.76733
18140,1.00354
18160,4.994
18180,1.13171
18200,1.43218
18220,2.04041
18240,1.02622
18260,16.9225
18280,1.06253
18300,1.69632
18320,1.6423
18340,1.07217
18360,12.0117
18380,1.02082
18400,2.13291
18420,1.39788
18440,1.14677
18460,4.46609
18480,1.00179
18500,2.95272
18520,1.23864
18540,1.25996
18560,2.77755
18580,1.00342
18600,4.95943
18620,1.13257
18640,1.43009
18660,2.0456
18680,1.02588
18700,16.5248
18720,1.06308
18740,1.69301
18760,1.64535
18780,1.07159
18800,12.2202
18820,1.02112
18840,2.1272
18860,1.39983
18880,1.14585
18900,4.49396
18920,1.00188
18940,2.94108
18960,1.23993
18980,1.25858
19000,2.78784
19020,1.00331
19040,4.92535
19060,1.13343
19080,1.42801
19100,2.05082
19120,1.02555
19140,16.1454
19160,1.06363
19180,1.68973
19200,1.64842
19220,1.071
19240,12.436
19260,1.02142
19280,2.12153
19300,1.40179
19320,1.14494
19340,4.52219
19360,1.00197
19380,2.92954
19400,1.24123
19420,1.25722
19440,2.79822
19460,1.00319
19480,4.89174
19500,1.13429
19520,1.42594
19540,2.05606
19560,1.02522
19580,15.783
19600,1.06418
19620,1.68645
19640,1.65151
19660,1.07041
19680,12.6596
19700,1.02173
19720,2.11589
19740,1.40375
19760,1.14403
19780,4.55079
19800,1.00206
19820,2.91809
19840,1.24253
19860,1.25585
19880,2.80868
19900,1.00308
19920,4.8586
19940,1.13516
19960,1.42388
19980,2.06134
20000,1.02489
20020,15.4366
20040,1.06473
20060,1.6832
20080,1.65461
20100,1.06983
20120,12.8914
20140,1.02203
20160,2.11029
20180,1.40573
20200,1.14313
20220,4.57977
20240,1.00215
20260,2.90674
20280,1.24384
20300,1.2545
20320,2.81923
20340,1.00297
20360,4.82591
20380,1.13603
20400,1.42183
20420,2.06665
20440,1.02456
20460,15.1051
20480,1.06529
20500,1.67996
20520,1.65772
20540,1.06926
20560,13.1318
20580,1.02234
20600,2.10472
20620,1.40771
20640,1.14223
20660,4.60912
20680,1.00225
20700,2.89549
20720,1.24515
20740,1.25315
20760,2.82986
20780,1.00286
20800,4.79367
20820,1.13691
20840,1.41979
20860,2.07199
20880,1.02424
20900,14.7876
20920,1.06585
20940,1.67674
20960,1.66086
20980,1.06868
21000,13.3815
21020,1.02265
21040,2.09918
21060,1.4097
21080,1.14133
21100,4.63886
21120,1.00234
21140,2.88432
21160,1.24647
21180,1.2518
21200,2.84057
21220,1.00275
21240,4.76187
21260,1.13778
21280,1.41775
21300,2.07736
21320,1.02392
21340,14.4831
21360,1.06641
21380,1.67353
21400,1.664
21420,1.06811
21440,13.6408
21460,1.02296
21480,2.09368
21500,1.4117
21520,1.14044
21540,4.669
21560,1.00244
21580,2.87325
21600,1.2478
21620,1.25046
21640,2.85138
21660,1.00265
21680,4.73049
21700,1.13866
21720,1.41573
21740,2.08277
21760,1.0236
21780,14.191
21800,1.06697
21820,1.67034
21840,1.66716
21860,1.06754
21880,13.9105
21900,1.02328
21920,2.08821
21940,1.41371
21960,1.13955
21980,4.69954
22000,1.00254
22020,2.86227
22040,1.24912
22060,1.24912
22080,2.86227
22100,1.00254
22120,4.69954
22140,1.13955
22160,1.41371
22180,2.08821
22200,1.02328
22220,13.9105
22240,1.06754
22260,1.66716
22280,1.67034
22300,1.06697
22320,14.191
22340,1.0236
22360,2.08277
22380,1.41573
22400,1.13866
22420,4.73049
22440,1.00265
22460,2.85138
22480,1.25046
22500,1.2478
22520,2.87325
22540,1.00244
22560,4.669
22580,1.14044
22600,1.4117
22620,2.09368
22640,1.02296
22660,13.6408
22680,1.06811
22700,1.664
22720,1.67353
22740,1.06641
22760,14.4831
22780,1.02392
22800,2.07736
22820,1.41775
22840,1.13778
22860,4.76187
22880,1.00275
22900,2.84057
22920,1.2518
22940,1.24647
22960,2.88432
22980,1.00234
23000,4.63886
23020,1.14133
23040,1.4097
23060,2.09918
23080,1.02265
23100,13.3815
23120,1.06868
23140,1.66086
23160,1.67674
23180,1.06585
23200,14.7876
23220,1.02424
23240,2.07199
23260,1.41979
23280,1.13691
23300,4.79367
23320,1.00286
23340,2.82986
23360,1.25315
23380,1.24515
23400,2.89549
23420,1.00225
23440,4.60912
23460,1.14223
23480,1.40771
23500,2.10472
23520,1.02234
23540,13.1318
23560,1.06926
23580,1.65772
23600,1.67996
23620,1.06529
23640,15.1051
23660,1.02456
23680,2.06665
23700,1.42183
23720,1.13603
23740,4.82591
23760,1.00297
23780,2.81923
23800,1.2545
23820,1.24384
23840,2.90674
23860,1.00215
23880,4.57977
23900,1.14313
23920,1.40573
23940,2.11029
23960,1.02203
23980,12.8914
24000,1.06983
24020,1.65461
24040,1.6832
24060,1.06473
24080,15.4366
24100,1.02489
24120,2.06134
24140,1.42388
24160,1.13516
24180,4.8586
24200,1.00308
24220,2.80868
24240,1.25585
24260,1.24253
24280,2.91809
24300,1.00206
24320,4.55079
24340,1.14403
24360,1.40375
24380,2.11589
24400,1.02173
24420,12.6596
24440,1.07041
24460,1.65151
24480,1.68645
24500,1.06418
24520,15.783
24540,1.02522
24560,2.05606
24580,1.42594
24600,1.13429
24620,4.89174
24640,1.00319
24660,2.79822
24680,1.25722
24700,1.24123
24720,2.92954
24740,1.00197
24760,4.52219
24780,1.14494
24800,1.40179
24820,2.12153
24840,1.02142
24860,12.436
24880,1.071
24900,1.64842
24920,1.68973
24940,1.06363
24960,16.1454
24980,1.02555
25000,2.05082
25020,1.42801
25040,1.13343
25060,4.92535
25080,1.00331
25100,2.78784
25120,1.25858
25140,1.23993
25160,2.94108
25180,1.00188
25200,4.49396
25220,1.14585
25240,1.39983
25260,2.1272
25280,1.02112
25300,12.2202
25320,1.07159
25340,1.64535
25360,1.69301
25380,1.06308
25400,16.5248
25420,1.02588
25440,2.0456
25460,1.43009
25480,1.13257
25500,4.95943
25520,1.00342
